22174455,25-04-2014 07:56:56 UTC,mithu,0.042210648,,sri shambhu sadan vidyalaya,19170108308,Kolkata,Ward 80,i-v,Government Aided,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,222,412,97,86,183,51,39,44,1,5,5,100,82,1,4,15,0,5,25,16,Yes,Yes,0,6,15,,No,Available,NA,NA,NA,NA,NA,Not Available,Not Available,4,80,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,No,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,10,41,7,17,24,Yes,Yes,4,3,Yes,,2,2,Yes,No,,Yes,,No,,No,,NA,,Available to all children,Yes,Functional,,Yes,Yes,,Yes,No,,Yes,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,500,8350,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto103392274862328.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto103460640888969.jpg,Doors (enough to provide privacy),Yes,,,22.51440107,88.31211909,-85.8,sqaprrn5,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto104243270457004.jpg,a3d9a35e860678939591429875836f4
19553015,08-07-2014 12:42:52 UTC,nayan/arshad,0.022175926,,Shri Nivatia Vidyamandir,19170108220,Kolkata,Ward 79,V-VIII,Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority|All,Boys,0,121,121,0,22,22,NA,18,18,2,8,4,50,30,0,8,0,0,0,8,15,Yes,No,,3,0,0,No,NA,Not Available,Available,Not Available,Available,Available,Not Available,Available,0,0,0,0,No,No,All-weather building|Classrooms|Fire safety|Toilet|Drinking water,No,No,No,No,Yes,Yes,9,13.44444444,,0,,,2,61,1,3,40,Yes,NA,,,Yes,2,0,0,No,No,,No,No,Yes,Tap inside the school,Yes,No,NA,,Not at all available,No,,,,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,0,0,0,0,0,0,0,0,0,115000,0,0,0,2000,10000,7000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2106243268921.jpg,,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2070238688924.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2481075580552.jpg,22.53438933,88.31638519,-33.6,sr7rbucb,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2203169270578.jpg,c015be7212aede1159ad7902988bc1b
19553003,08-07-2014 10:29:28 UTC,nayan/arshad,0.02275463,,Arya Parishad Vidyalaya,19170108302,Kolkata,Ward 80,Primary (Class IV),Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority|All,Co-education,118,169,287,81,97,178,69,57,62,2,9,9,100,32,0,9,0,0,3,12,24,Yes,No,,9,0,0,Yes,Available,NA,NA,NA,NA,NA,Available,Available,4,44,12,0,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Library|Barrier free access|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water,Yes,Yes,No,Yes,Yes,Yes,5,57,,0,,,5,57,5,10,29,Yes,Yes,2,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,Yes,Yes,,Available to all children,Yes,Functional,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,8350,5000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6843063308297.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6748385039972.jpg,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6869445638294.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6657700763314.jpg,22.54028371,88.30648028,-41.5,srhill6g,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto7004469061614.jpg,7ec08558688abaf125695bac483cef
21143125,24-04-2014 09:38:05 UTC,Suhita,0.039976852,,Janakalyan High School Co-ed,19170106122,Kolkata,Ward 58,class v- xii,govt. sponsored,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,210,400,130,143,273,68,68,68,10,6,5,83,80,1,4,0,0,3,8,50,No,No,,5,5,,No,NA,Not Available,Available,Available,Available,Available,Not Available,Not Available,8,160,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,6,67,10,16,25,Yes,Yes,3,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Central Kitchen,Yes,Yes,,No,No,,No,,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,0,0,0,0,0,70000,0,7000,10000,0,0,0,40000,0,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto14801821726646.jpg,,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto14843576323309.jpg,,22.55380854,88.39574654,-55.1,ss3vjnqt,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto15072569838287.jpg,d78ab3f0d65d82c4a198caa9405f8ef5
21233013,30-04-2014 05:24:49 UTC,mithu,0.023946759,,sri saraswati vidyala,19170108310,Kolkata,Ward 80,Primary (Class IV),Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority,Co-education,144,137,281,104,100,204,72,73,73,6,10,10,100,28,0,10,0,0,2,12,23,Yes,No,,10,10,,No,Available,NA,NA,NA,NA,NA,Not Available,Not Available,9,90,5,,Yes,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Fire safety|Toilet|Drinking water,No,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,3,94,4,7,40,Yes,Yes,2,1,Yes,,1,0,No,No,,Yes,,Yes,Tap inside the school,Yes,Yes,No,,Available to all children,Yes,MDM provided but not prepared in school premise,Nearby School,Yes,No,,No,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,7500,0,0,0,3500,17000,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto43948181667081.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto43982973593734.jpg,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto44071935200367.jpg,,22.52691706,88.30382518,-68.8,sqvel1cu,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto44135104145343.jpg,27eb9275be7e4dec27cb282e82318572
19553014,08-07-2014 11:29:28 UTC,nayan/arshad,0.006967593,,Shri Shanti Niketan Vidyalaya,19170108323,Kolkata,Ward 80,Primary (Class IV),Government Aided,Hindi,Residential for boys,SC|ST|OBC|General|Minority|All,Co-education,70,179,249,55,120,175,79,67,70,0,8,7,88,36,1,6,0,0,1,8,31,Yes,No,,8,0,0,No,Available,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Barrier free access|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water,No,Yes,No,Yes,Yes,Yes,5,50,,0,,,5,50,3,8,31,Yes,Yes,3,2,Yes,,0,0,No,No,,No,No,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,Yes,No,No,No,No,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2152095448130.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2166616744796.jpg,Doors present but broken,Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2229254476457.jpg,,22.54979479,88.32430291,-38.3,srx8stm3,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto2269488639786.jpg,61e4f87e24342098e7a727c1e84ee77f
17343021,30-04-2014 07:22:48 UTC,mithu,0.042604167,,sanghamitra vidyalaya(hihg),19170108313,Kolkata,Ward 80,v..xii,Government Aided,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,793,580,1373,387,364,751,49,63,55,7,28,20,71,69,4,16,0,0,4,24,57,No,No,,16,21,,No,NA,Not Available,Available,Available,Available,Available,Not Available,Not Available,15,75,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water|cimputer lab,Yes,Yes,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,4,343,17,21,65,No,Yes,2,2,Yes,,1,2,Yes,Yes,yes,Yes,,Yes,Tap inside the school,Yes,Yes,No,,Available to all children,Yes,MDM provided but not prepared in school premise,NGO,Yes,No,,Yes,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,5000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto47675093059010.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto47709266957329.jpg,No doors,No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto47756580442312.jpg,,22.5422763,88.31000549,-42.5,srkt2ul8,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto47958841120569.jpg,f0187085fdc06031dbd339c71ddb4516
18253001,28-04-2014 10:51:38 UTC,nayan/arshad,0.030555556,,Harijan Gyan Mandir G.S.F.P S,19170108303,Kolkata,Ward 80,Primary (Class IV),Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority,Co-education,113,86,199,77,85,162,68,99,81,1,7,7,100,28,1,6,0,0,3,10,20,Yes,No,,2,7,,No,Available,NA,NA,NA,NA,NA,Available,Available,3,43,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Library|Fire safety|Toilet|Drinking water,Yes,No,No,Yes,Yes,Yes,,#VALUE!,,,,Yes,4,50,2,6,33,Yes,Yes,2,2,Yes,,1,1,Yes,No,,Yes,,Yes,School Handpump,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,,No,Yes,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,8650,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto39779719451090.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto39804814701088.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto39890216879414.jpg,,22.51289135,88.31194547,-40.9,sq87vban,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto40237935729380.jpg,e181399d7648cc98b644ea8c6963666
17173124,24-04-2014 09:38:35 UTC,nayan/arshad,0.031863426,,Janakalyan shiksha Mandir high school co ed,19170106122,Kolkata,Ward 58,v-xii,sponsored,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,210,400,130,143,273,68,68,68,10,6,5,83,80,1,4,0,0,3,8,50,No,No,,5,5,,No,NA,Not Available,Available,Available,Available,Available,Available,Not Available,8,160,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,6,67,10,16,25,Yes,Yes,3,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Self-help group,Yes,Yes,,No,No,,No,,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,0,0,0,0,0,70000,0,7000,10000,0,0,0,40000,0,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10728333387424.jpg,,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10799702154085.jpg,,22.55406724,88.39592734,-47.8,ss4b0xh3,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10860495940745.jpg,77ecb4f8618578cc8cb3aa51fd32bdc
19533105,07-07-2014 06:59:37 UTC,mahasweta biswas,0.051701389,,KMCP School 11 Goracha  Rd,17479,Kolkata,Ward 79,primary but till  V,Government Aided,Hindi,Non-residential,General,Co-education,133,127,260,93,85,178,70,67,68,5,4,4,100,65,4,0,0,0,0,4,65,No,No,,4,0,4,No,Not Available,NA,NA,NA,NA,NA,Available,Not Available,2,50,4,4,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Library|Fire safety|Toilet|Drinking water,Yes,No,No,Yes,Yes,Yes,7,37,,1,,No,8,33,3,11,24,Yes,No,,,No,5,2,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,No,Yes,Yes,No,No,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto325861588324488.jpg,,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto325917336502123.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto325954884812733.jpg,22.51727697,88.31777859,-45,sqfgn6ax,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto326181737659730.jpg,82206a88f78ab7e73852bdb6821ba7a
21233046,30-04-2014 04:55:02 UTC,nayan/arshad,0.03380787,,Kidderpore Oriya High School,19170108321,Kolkata,Ward 80,Secondary (I-X or VI-X),Government Aided,Oriya,Residential for general,SC|ST|OBC|General|Minority,Co-education,75,67,142,65,53,118,87,79,83,1,12,5,42,28,2,3,4,0,0,9,16,Yes,No,,8,6,,No,NA,Available,Available,Available,Available,Available,Not Available,Not Available,5,100,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Boundary Wall/fencing|Fire safety|Toilet|Drinking water|Computer Lab,No,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,3,47,4,7,20,Yes,Yes,1,2,Yes,,0,0,No,No,,No,No,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,No,,No,Yes,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,5000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3573713186551.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3603173834882.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3798605933196.jpg,,22.54029984,88.31819627,-35.6,srhj70vh,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto4018570113119.jpg,5954ec6b85a2fb92591f4256de86aced
20143071,24-04-2014 09:35:15 UTC,mahasweta biswas,0.036655093,,janakalyan sikha mandir high school co ed,19170106122,Kolkata,Ward 58,5 to 12,sponsored,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,210,400,130,143,273,68,68,68,10,6,5,83,80,1,4,0,0,3,8,50,No,No,,5,5,,No,NA,Not Available,Available,Available,Available,Available,Not Available,Not Available,8,160,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,6,67,10,16,25,Yes,Yes,3,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Self-help group,Yes,Yes,,No,No,,No,,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,0,0,0,0,0,70000,0,7000,10000,0,0,0,0,0,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto15282443939668.jpg,,No doors,Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto15365740825365.jpg,,22.55398683,88.39577431,-43,ss469gmt,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto15584655767885.jpg,d06020f8b2c9e7555a45d853c33cc8d
21233001,30-04-2014 04:26:59 UTC,mithu,0.0996875,,gandhi vidyalaya,19170108312,Kolkata,Ward 80,i..v,Government Aided,Hindi,Non-residential,ST|OBC|General|Minority,Co-education,106,112,218,70,78,148,66,70,68,1,6,6,100,36,0,6,0,0,3,9,24,Yes,No,,7,6,,No,Available,NA,NA,NA,NA,NA,NA,NA,5,83,6,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Fire safety|Toilet|Drinking water,No,No,No,Yes,Yes,Yes,,#VALUE!,,,,,4,55,3,7,31,Yes,Yes,1,1,No,,1,1,Yes,Yes,No,No,Could not Observe,No,,No,,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,NGO,Yes,No,,No,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,8350,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto41496017424688.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto41473822918029.jpg,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto41585901361321.jpg,,22.53228894,88.30168926,-28.9,sr4aat6w,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto41743293591260.jpg,66316f729e71450737b5818bd11f4b8
22613119,07-07-2014 13:41:44 UTC,nayan/arshad,0.02943287,,c.p.c remount road institute,19170108215,Kolkata,Ward 79,Secondary (I-X or VI-X),,Bangla,Non-residential,All,Co-education,45,65,110,23,40,63,51,62,57,1,12,10,83,11,3,7,0,0,0,10,11,Yes,No,,8,3,0,No,NA,Available,Available,Available,Available,Available,Not Available,Not Available,9,90,6,0,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Barrier free access|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water,No,Yes,Yes,Yes,Yes,Yes,7,16,,3,,,7,16,6,13,8,Yes,Yes,2,2,Yes,,2,1,Yes,No,,Yes,,Yes,School Handpump,Yes,Yes,Yes,,Available to all children,Yes,Functional,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Government,No,Yes,Yes,0,0,0,0,0,100000,0,0,0,0,0,0,0,2000,7000,10000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto5920252989665.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto5966116647994.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6031939937987.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6071804637983.jpg,22.52548738,88.31914095,-38.4,sqt1g1yv,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6306283498235.jpg,8cbc9c59b49e82bf398381a9db2349
19143150,24-04-2014 07:46:32 UTC,Ashis Kumar Roy,0.038888889,,Shastriji Harijan Vidyamandir  HINDI,19170106007,Kolkata,Ward 57,I to V,Government Aided,Hindi,Non-residential,SC|OBC|General,Co-education,54,53,107,44,30,74,81,57,69,0,6,6,100,18,0,6,0,0,0,6,18,Yes,No,,5,6,,No,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,6,100,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water|water filter,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,No,2,54,2,4,27,Yes,Yes,1,1,Yes,,0,0,No,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,,No,Yes,,No,,Yes,Yes,No,No,,No,No,No,0,0,0,0,0,0,0,5000,8350,0,0,0,0,2500,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto4281977354507.jpg,,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto4262221292842.jpg,,22.56240501,88.38144984,-39.9,ssi3kfvq,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto4888284956116.jpg,56a2ba9fb6e69e12124f7ea8bf343b36
22763117,09-07-2014 09:53:07 UTC,Suhita,0.024039352,,KMCP school day 15 gobinda khatick rd kol-46,19170106129,Kolkata,Ward 58,pre primary-5,Government,Bangla,Non-residential,General,Co-education,43,42,85,28,26,54,65,62,64,0,2,2,100,43,1,1,0,1,0,3,28,Yes,No,,2,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,2,100,1,0,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water|computer - projector,No,Yes,No,Yes,Yes,Yes,5,17,,0,,,10,9,8,18,5,Yes,Yes,2,2,Yes,,2,2,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,NGO,No,Yes,Yes,No,Yes,No,No,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto9950631481875.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto9985972686871.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10020018810201.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10122768050191.jpg,22.55536696,88.38366042,-42.3,ss6gfa0s,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10544965173483.jpg,3ed57d6cea7ae050fe99695fa68ad2
14163132,24-04-2014 09:37:28 UTC,SSDC,0.0296875,,Janakalyan sikshamandir highschool co -education,19170106122,Kolkata,Ward 58,V-XII,Govt.sponserd,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,210,400,130,143,273,68,68,68,10,6,5,83,80,1,4,0,0,3,8,50,No,No,,5,5,,No,NA,Not Available,Available,Available,Available,Available,Not Available,Not Available,8,160,3,,No,No,Classrooms|Office cum Head teacher's room|Store|Library|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,No,,#VALUE!,,,,Yes,6,67,10,16,25,Yes,Yes,3,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Central Kitchen,Yes,Yes,,No,No,,No,,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,70000,0,0,0,0,70000,0,7000,10000,0,0,0,40000,0,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto8311726406882.jpg,,Doors present but broken,No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto8358581861877.jpg,,22.55400918,88.39588266,-56.1,ss47gbue,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto8418464491872.jpg,2fd4b798216e6594315b049ad167d
15143162,24-04-2014 07:46:40 UTC,Suhita,0.075694444,,Shastriji Harijan Vidyamandir Hindi,19170106007,Kolkata,Ward 57,class 1-5,Government Aided,Hindi,Non-residential,SC|OBC|General,Co-education,54,53,107,44,30,74,81,57,69,0,6,6,100,18,0,6,0,0,0,6,18,Yes,No,,5,6,,No,Available,NA,NA,NA,NA,NA,Available,Available,6,100,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,2,54,2,4,27,Yes,Yes,1,1,Yes,,0,0,No,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,,No,Yes,,No,,Yes,Yes,No,No,,No,No,No,0,0,0,0,0,0,0,5000,8350,0,0,0,0,2500,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10292349810618.jpg,,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10168831377296.jpg,,22.56244934,88.38138222,-43.3,ssi5y6at,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto10661496263916.jpg,d6ab8b1e961c4e6f35e8698383ae7a54